iter	Passed	Remaining
1324	4826	31596
1325	4828	31587
1326	4832	31583
1327	4835	31576
1328	4838	31567
1329	4841	31559
1330	4845	31557
1331	4848	31550
1332	4851	31542
1333	4854	31533
1334	4857	31526
1335	4862	31530
1336	4865	31526
1337	4868	31518
1338	4871	31511
1339	4874	31502
1340	4878	31498
1341	4880	31489
1342	4885	31492
1343	4888	31485
1344	4891	31477
1345	4894	31469
1346	4897	31462
1347	4900	31454
1348	4904	31452
1349	4907	31445
1350	4911	31444
1351	4915	31442
1352	4918	31436
1353	4922	31435
1354	4926	31432
1355	4930	31430
1356	4933	31422
1357	4936	31415
1358	4940	31415
1359	4943	31406
1360	4946	31399
1361	4950	31397
1362	4953	31390
1363	4957	31385
1364	4960	31378
1365	4963	31373
1366	4967	31371
1367	4970	31364
1368	4973	31356
1369	4976	31349
1370	4979	31341
1371	4982	31334
1372	4985	31326
1373	4988	31319
1374	4991	31313
1375	4994	31304
1376	4997	31296
1377	5000	31290
1378	5004	31287
1379	5010	31299
1380	5013	31291
1381	5016	31284
1382	5020	31278
1383	5023	31270
1384	5026	31264
1385	5028	31254
1386	5032	31249
1387	5035	31243
1388	5038	31234
1389	5041	31226
1390	5044	31218
1391	5047	31213
1392	5050	31207
1393	5053	31198
1394	5056	31188
1395	5059	31184
1396	5062	31175
1397	5065	31168
1398	5068	31162
1399	5071	31152
1400	5075	31152
1401	5079	31150
1402	5082	31144
1403	5087	31150
1404	5090	31142
1405	5094	31140
1406	5098	31135
1407	5102	31133
1408	5105	31130
1409	5108	31124
1410	5112	31118
1411	5115	31115
1412	5118	31107
1413	5121	31099
1414	5124	31091
1415	5127	31086
1416	5131	31079
1417	5133	31071
1418	5137	31064
1419	5139	31056
1420	5143	31053
1421	5146	31045
1422	5149	31036
1423	5152	31029
1424	5155	31025
1425	5158	31017
1426	5161	31009
1427	5164	31003
1428	5168	31002
1429	5172	30998
1430	5175	30992
1431	5178	30985
1432	5182	30982
1433	5185	30974
1434	5188	30967
1435	5191	30959
1436	5194	30951
1437	5198	30949
1438	5201	30945
1439	5204	30936
1440	5207	30933
1441	5213	30941
1442	5217	30937
1443	5220	30932
1444	5225	30937
1445	5228	30932
1446	5232	30928
1447	5236	30928
1448	5243	30944
1449	5249	30954
1450	5255	30961
1451	5259	30962
1452	5263	30961
1453	5267	30962
1454	5270	30955
1455	5274	30948
1456	5277	30946
1457	5281	30944
1458	5285	30939
1459	5288	30934
1460	5293	30941
1461	5297	30935
1462	5300	30928
1463	5305	30932
1464	5309	30930
1465	5312	30927
1466	5319	30942
1467	5323	30939
1468	5326	30933
1469	5330	30932
1470	5333	30925
1471	5336	30918
1472	5339	30910
1473	5342	30903
1474	5346	30899
1475	5348	30890
1476	5352	30885
1477	5355	30880
1478	5358	30873
1479	5361	30865
1480	5364	30858
1481	5367	30851
1482	5372	30854
1483	5375	30846
1484	5378	30837
1485	5381	30835
1486	5384	30827
1487	5387	30821
1488	5390	30812
1489	5393	30804
1490	5397	30803
1491	5402	30807
1492	5406	30805
1493	5413	30822
1494	5416	30815
1495	5420	30811
1496	5425	30816
1497	5428	30810
1498	5432	30806
1499	5435	30800
1500	5441	30811
1501	5445	30812
1502	5451	30820
1503	5455	30815
1504	5458	30808
1505	5460	30799
1506	5464	30795
1507	5467	30788
1508	5470	30782
1509	5473	30774
1510	5476	30770
1511	5479	30762
1512	5482	30754
1513	5485	30746
1514	5488	30737
1515	5494	30748
1516	5498	30745
1517	5501	30738
1518	5505	30736
1519	5507	30728
1520	5511	30724
1521	5514	30717
1522	5521	30731
1523	5525	30731
1524	5531	30739
1525	5536	30743
1526	5539	30735
1527	5542	30727
1528	5546	30726
1529	5548	30718
1530	5551	30710
1531	5555	30704
1532	5559	30703
1533	5561	30696
1534	5565	30691
1535	5568	30684
1536	5574	30696
1537	5578	30691
1538	5582	30690
1539	5587	30693
1540	5590	30689
1541	5594	30683
1542	5598	30684
1543	5602	30681
1544	5605	30675
1545	5608	30668
1546	5613	30675
1547	5617	30673
1548	5620	30666
1549	5624	30665
1550	5627	30656
1551	5630	30648
1552	5633	30644
1553	5636	30636
1554	5641	30636
1555	5646	30641
1556	5649	30637
1557	5654	30641
1558	5658	30638
1559	5662	30635
1560	5666	30636
1561	5669	30628
1562	5672	30621
1563	5675	30614
1564	5679	30609
1565	5681	30600
1566	5684	30592
1567	5687	30584
1568	5690	30576
1569	5694	30578
1570	5697	30571
1571	5700	30563
1572	5704	30561
1573	5707	30553
1574	5711	30550
1575	5714	30545
1576	5719	30548
1577	5722	30543
1578	5725	30535
1579	5729	30531
1580	5734	30537
1581	5737	30531
1582	5741	30528
1583	5744	30520
1584	5750	30528
1585	5753	30522
1586	5756	30518
1587	5760	30513
1588	5763	30509
1589	5766	30501
1590	5769	30493
1591	5772	30485
1592	5777	30490
1593	5780	30483
1594	5784	30479
1595	5787	30473
1596	5790	30470
1597	5793	30463
1598	5796	30455
1599	5800	30452
1600	5803	30446
1601	5807	30446
1602	5811	30442
1603	5816	30446
1604	5820	30442
1605	5823	30436
1606	5827	30435
1607	5831	30431
1608	5834	30426
1609	5837	30421
1610	5842	30421
1611	5845	30416
1612	5848	30411
1613	5851	30405
1614	5856	30404
1615	5859	30397
1616	5862	30391
1617	5864	30383
1618	5868	30379
1619	5871	30372
1620	5874	30364
1621	5877	30359
1622	5880	30352
1623	5884	30348
1624	5887	30341
1625	5889	30333
1626	5894	30332
1627	5899	30335
1628	5902	30332
1629	5907	30333
1630	5911	30334
1631	5914	30327
1632	5917	30320
1633	5923	30327
1634	5927	30328
1635	5932	30328
1636	5937	30331
1637	5941	30329
1638	5944	30325
1639	5948	30324
1640	5952	30323
1641	5956	30319
1642	5960	30318
1643	5967	30330
1644	5971	30327
1645	5974	30324
1646	5979	30326
1647	5983	30323
1648	5986	30318
1649	5990	30314
1650	5995	30317
1651	5999	30316
1652	6003	30315
1653	6009	30323
1654	6013	30319
1655	6018	30323
1656	6024	30335
1657	6030	30343
1658	6043	30384
1659	6047	30384
1660	6051	30378
1661	6054	30376
1662	6059	30376
1663	6064	30383
1664	6069	30381
1665	6072	30377
1666	6076	30377
1667	6080	30372
1668	6084	30369
1669	6089	30374
1670	6092	30370
1671	6096	30366
1672	6100	30362
1673	6104	30360
1674	6107	30354
1675	6110	30349
1676	6115	30349
1677	6119	30348
1678	6122	30342
1679	6126	30338
1680	6130	30337
1681	6133	30329
1682	6135	30321
1683	6138	30313
1684	6143	30315
1685	6146	30307
